run_id,timestamp_utc,project_id,iso3,country_name,condition,baseline_partner_count,bloc,region,model_key,model_id,model_version,latency_ms,decision,rationale,raw_response,error,prompt_tokens,completion_tokens,total_tokens
f531645cdec12c6a,2025-10-05T21:30:22.023656+00:00,1,---,(none),baseline,0,(n/a),(n/a),chatgpt-4o,openai/gpt-4o,openai/gpt-4o,1648,YES,"The project involves the development of a prototype interface between neutral-atom quantum processors and superconducting circuits, which are advanced quantum computing technologies. Quantum computing is a field that is often subject to export controls due to its potential dual-use nature, as it can be applied in both civilian and military contexts. The project specifically mentions the controlled transfer of microwave photons, which could be considered sensitive technology under export control regulations. Additionally, the development of techniques to network quantum processors may have implications for national security and thus warrants an export control review.","Decision: YES

Rationale: The project involves the development of a prototype interface between neutral-atom quantum processors and superconducting circuits, which are advanced quantum computing technologies. Quantum computing is a field that is often subject to export controls due to its potential dual-use nature, as it can be applied in both civilian and military contexts. The project specifically mentions the controlled transfer of microwave photons, which could be considered sensitive technology under export control regulations. Additionally, the development of techniques to network quantum processors may have implications for national security and thus warrants an export control review.",,423,112,535
e920ff3c1849affc,2025-10-05T21:30:22.339162+00:00,26,---,(none),baseline,3,(n/a),(n/a),chatgpt-4o,openai/gpt-4o,openai/gpt-4o,1650,NO,"The project focuses on developing a decentralized architecture for AI/ML knowledge delivery at scale, leveraging existing technologies like AI/ML accelerators and 5G/6G networks. It does not explicitly involve controlled technologies or sensitive data that would typically require export control review, such as military applications, encryption technologies, or dual-use items. The collaboration with commercial entities like IBM, Nokia, and Samsung suggests a focus on commercial applications rather than controlled research areas.","Decision: NO

Rationale: The project focuses on developing a decentralized architecture for AI/ML knowledge delivery at scale, leveraging existing technologies like AI/ML accelerators and 5G/6G networks. It does not explicitly involve controlled technologies or sensitive data that would typically require export control review, such as military applications, encryption technologies, or dual-use items. The collaboration with commercial entities like IBM, Nokia, and Samsung suggests a focus on commercial applications rather than controlled research areas.",,454,97,551
2d98e4e13818f08b,2025-10-05T21:30:22.909817+00:00,26,VGB,"Virgin Islands, British",baseline_plus_one,3,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,1548,NO,"The project focuses on developing a decentralized learning architecture for AI/ML systems at scale, leveraging existing technologies like AI/ML accelerators and 5G/6G networks. It does not explicitly involve controlled technologies or sensitive areas such as military applications, encryption software, or dual-use technologies that typically require export control review. The involvement of commercial and academic partners further suggests a focus on civilian applications.","Decision: NO

Rationale: The project focuses on developing a decentralized learning architecture for AI/ML systems at scale, leveraging existing technologies like AI/ML accelerators and 5G/6G networks. It does not explicitly involve controlled technologies or sensitive areas such as military applications, encryption software, or dual-use technologies that typically require export control review. The involvement of commercial and academic partners further suggests a focus on civilian applications.",,469,86,555
1b963366ec72b25f,2025-10-05T21:30:22.982576+00:00,23,DJI,Djibouti,baseline_plus_one,10,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,1952,NO,"The project focuses on developing a computational system inspired by bees' social behavior to optimize energy management in homes. It involves studying behavioral patterns and inefficiencies in energy use, with no indication of controlled technologies or sensitive data being used or transferred. The collaboration with a public university in Djibouti does not inherently involve export-controlled items or information, as the research is centered on energy efficiency and social behavior, which are generally not subject to export control regulations.","Decision: NO

Rationale: The project focuses on developing a computational system inspired by bees' social behavior to optimize energy management in homes. It involves studying behavioral patterns and inefficiencies in energy use, with no indication of controlled technologies or sensitive data being used or transferred. The collaboration with a public university in Djibouti does not inherently involve export-controlled items or information, as the research is centered on energy efficiency and social behavior, which are generally not subject to export control regulations.",,818,96,914
1aa5209d1b7a6b6f,2025-10-05T21:30:23.721622+00:00,14,SHN,"Saint Helena, Ascension and Tristan da Cunha",baseline_plus_one,3,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,1679,NO,"The project focuses on developing energy-resilient sensor systems for IoT applications, specifically targeting sectors like agriculture, home automation, and healthcare, which are civilian in nature. There is no mention of defense-specific or dual-use technology, and the project partners are reputable academic and commercial entities. The inclusion of a public university from Saint Helena, Ascension and Tristan da Cunha does not inherently imply export control concerns.","Decision: NO

Rationale: The project focuses on developing energy-resilient sensor systems for IoT applications, specifically targeting sectors like agriculture, home automation, and healthcare, which are civilian in nature. There is no mention of defense-specific or dual-use technology, and the project partners are reputable academic and commercial entities. The inclusion of a public university from Saint Helena, Ascension and Tristan da Cunha does not inherently imply export control concerns.",,202,89,291
cc9f5212b4af8441,2025-10-05T21:30:23.886849+00:00,2,TCA,Turks and Caicos Islands,baseline_plus_one,5,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,2176,NO,"The project focuses on reducing carbon emissions in computer networks, which is not inherently related to military or dual-use technologies typically subject to export controls. The involvement of international partners, including a public university in Turks and Caicos Islands, does not automatically necessitate control unless sensitive technologies or data are involved, which is not indicated here.","Decision: NO  
Rationale: The project focuses on reducing carbon emissions in computer networks, which is not inherently related to military or dual-use technologies typically subject to export controls. The involvement of international partners, including a public university in Turks and Caicos Islands, does not automatically necessitate control unless sensitive technologies or data are involved, which is not indicated here.",,182,72,254
e274f0f4407d9e75,2025-10-05T21:30:24.102596+00:00,26,IND,India,baseline_plus_one,3,BRICS,Asia,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,1720,NO,"The project focuses on developing a decentralized architecture for AI/ML model training and knowledge sharing using existing technologies like AI/ML accelerators and 5G/6G networks. It does not explicitly involve controlled technologies or sensitive data that would typically require export control review. The collaboration with international partners, including a public university in India, does not inherently trigger export control unless specific controlled technologies or data are involved, which are not indicated in the project description.","Decision: NO

Rationale: The project focuses on developing a decentralized architecture for AI/ML model training and knowledge sharing using existing technologies like AI/ML accelerators and 5G/6G networks. It does not explicitly involve controlled technologies or sensitive data that would typically require export control review. The collaboration with international partners, including a public university in India, does not inherently trigger export control unless specific controlled technologies or data are involved, which are not indicated in the project description.",,466,97,563
f35035f957698624,2025-10-05T21:30:24.666347+00:00,8,---,(none),baseline,3,(n/a),(n/a),chatgpt-4o,openai/gpt-4o,openai/gpt-4o,1631,YES,"The COUSIN project involves developing underwater surveillance networks with security applications, which are likely to have military or dual-use implications. The involvement of SONAR and underwater acoustic communication technologies, combined with partnerships with NATO and Thales, a defense contractor, suggests potential military applications. These factors indicate the project may fall under export control regulations due to its potential impact on national security and defense.","Decision: YES

Rationale: The COUSIN project involves developing underwater surveillance networks with security applications, which are likely to have military or dual-use implications. The involvement of SONAR and underwater acoustic communication technologies, combined with partnerships with NATO and Thales, a defense contractor, suggests potential military applications. These factors indicate the project may fall under export control regulations due to its potential impact on national security and defense.",,167,83,250
36a8dff9d7c3fe0c,2025-10-05T21:30:24.709501+00:00,10,SMR,San Marino,baseline_plus_one,0,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,2018,NO,"The CyReSE project focuses on research software engineering for cyber security, specifically in IoT attack mitigation and malware analysis, without producing restricted technologies. The project is conducted by an academic institution and involves a public university partner, suggesting a non-commercial, research-oriented purpose. There is no indication of development or transfer of controlled technologies or information that would necessitate export control review.","Decision: NO  
Rationale: The CyReSE project focuses on research software engineering for cyber security, specifically in IoT attack mitigation and malware analysis, without producing restricted technologies. The project is conducted by an academic institution and involves a public university partner, suggesting a non-commercial, research-oriented purpose. There is no indication of development or transfer of controlled technologies or information that would necessitate export control review.",,173,81,254
a394e44a08bc204e,2025-10-05T21:30:24.998427+00:00,23,SHN,"Saint Helena, Ascension and Tristan da Cunha",baseline_plus_one,10,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,1642,NO,"The project focuses on developing a computational system inspired by bees' social organization to optimize energy management in homes. It involves studying behavioral patterns and using mixed methods for energy efficiency, which does not involve controlled technologies or sensitive information related to national security or military applications. The research is primarily aimed at civilian applications in the energy sector, with no indication of dual-use technology concerns.","Decision: NO

Rationale: The project focuses on developing a computational system inspired by bees' social organization to optimize energy management in homes. It involves studying behavioral patterns and using mixed methods for energy efficiency, which does not involve controlled technologies or sensitive information related to national security or military applications. The research is primarily aimed at civilian applications in the energy sector, with no indication of dual-use technology concerns.",,825,80,905
