run_id,timestamp_utc,project_id,iso3,country_name,condition,baseline_partner_count,bloc,region,model_key,model_id,model_version,latency_ms,decision,rationale,raw_response,error,prompt_tokens,completion_tokens,total_tokens,source_file,model,parsed_ok
cfe241feb8b34efa,2025-10-03T13:54:58.610004+00:00,34,BVT,Bouvet Island,single_partner,0,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,11451,,,"


",ParseError: decision not found,651,277,928,runs_done_openrouter_gemini2_5.csv,gemini2.5,False
1e1f5e27c7a215df,2025-10-03T13:57:24.610692+00:00,2,NIC,Nicaragua,single_partner,5,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,12579,,,"



",ParseError: decision not found,148,288,436,runs_done_openrouter_gemini2_5.csv,gemini2.5,False
c263a4393852970e,2025-10-03T14:00:40.512186+00:00,6,TUV,Tuvalu,baseline_plus_one,1,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,6538,,*," of the UK Strategic Export Control Lists).
        *",ParseError: decision not found,165,298,463,runs_done_openrouter_gemini2_5.csv,gemini2.5,False
2eb8df2d002bba96,2025-10-03T14:05:04.598950+00:00,25,KOR,"Korea, Republic of",baseline_plus_one,0,Other,Asia,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,23256,,,"



",ParseError: decision not found,758,286,1044,runs_done_openrouter_gemini2_5.csv,gemini2.5,False
c64561fc5bc1c55f,2025-10-03T14:07:51.506126+00:00,6,PLW,Palau,baseline_plus_one,1,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,6153,,of the UK Strategic Export Control Lists).," of the UK Strategic Export Control Lists).
",ParseError: decision not found,164,298,462,runs_done_openrouter_gemini2_5.csv,gemini2.5,False
f3702519e19cd0d8,2025-10-03T14:09:06.080482+00:00,23,HTI,Haiti,single_partner,10,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,11494,,,"



",ParseError: decision not found,764,283,1047,runs_done_openrouter_gemini2_5.csv,gemini2.5,False
38cc5b1884966d3e,2025-10-03T14:10:02.055245+00:00,26,MDA,"Moldova, Republic of",single_partner,3,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,6942,,,"
   ",ParseError: decision not found,450,276,726,runs_done_openrouter_gemini2_5.csv,gemini2.5,False
cd3c7f3aba039a2a,2025-10-03T14:10:02.317545+00:00,2,TJK,Tajikistan,baseline_plus_one,5,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,6182,,",","
,",ParseError: decision not found,173,276,449,runs_done_openrouter_gemini2_5.csv,gemini2.5,False
04fe502cf98bfa05,2025-10-03T14:10:07.193546+00:00,27,PAK,Pakistan,baseline_plus_one,11,Other,Asia,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,11754,,,"


",ParseError: decision not found,808,281,1089,runs_done_openrouter_gemini2_5.csv,gemini2.5,False
2948cc018416f4ae,2025-10-03T14:10:09.376302+00:00,24,BES,"Bonaire, Sint Eustatius and Saba",baseline_plus_one,3,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,15186,,,"



",ParseError: decision not found,282,281,563,runs_done_openrouter_gemini2_5.csv,gemini2.5,False
dd0a64afb28fb823,2025-10-03T14:10:47.248905+00:00,7,SWZ,Eswatini,baseline_plus_one,3,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,10128,,,"


",ParseError: decision not found,189,277,466,runs_done_openrouter_gemini2_5.csv,gemini2.5,False
1c1ac8af44b76fb3,2025-10-03T14:11:17.599744+00:00,25,JPN,Japan,baseline_plus_one,0,Other,Asia,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,18597,,My,"
My",ParseError: decision not found,755,272,1027,runs_done_openrouter_gemini2_5.csv,gemini2.5,False
0e77fc5ba8cee852,2025-10-03T14:12:11.622225+00:00,18,BES,"Bonaire, Sint Eustatius and Saba",baseline_plus_one,31,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,10038,,,"




",ParseError: decision not found,323,270,593,runs_done_openrouter_gemini2_5.csv,gemini2.5,False
a683c73e1addb31d,2025-10-03T14:13:38.961865+00:00,14,SGP,Singapore,single_partner,3,Other,Asia,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,12959,,,"


",ParseError: decision not found,170,284,454,runs_done_openrouter_gemini2_5.csv,gemini2.5,False
71fb181d94560d58,2025-10-03T14:14:05.866286+00:00,18,HKG,Hong Kong,baseline_plus_one,31,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,11562,,,"



",ParseError: decision not found,317,281,598,runs_done_openrouter_gemini2_5.csv,gemini2.5,False
5d61f7df961eaf51,2025-10-03T14:14:10.824363+00:00,23,MLI,Mali,baseline_plus_one,10,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,13247,,,"



",ParseError: decision not found,807,284,1091,runs_done_openrouter_gemini2_5.csv,gemini2.5,False
5265b39ba9dd8d67,2025-10-03T14:17:18.865472+00:00,26,SOM,Somalia,baseline_plus_one,3,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,24983,,,"



",ParseError: decision not found,464,282,746,runs_done_openrouter_gemini2_5.csv,gemini2.5,False
56d6348e1c0ab0a4,2025-10-03T14:18:26.619332+00:00,27,BOL,"Bolivia, Plurinational State of",single_partner,11,Other,South America,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,12856,,,"


",ParseError: decision not found,745,282,1027,runs_done_openrouter_gemini2_5.csv,gemini2.5,False
b45c9d8bad7a751d,2025-10-03T14:29:00.328387+00:00,6,COG,Congo,baseline_plus_one,1,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,5491,,*," of the UK Strategic Export Control Lists).
        *",ParseError: decision not found,164,298,462,runs_done_openrouter_gemini2_5.csv,gemini2.5,False
0ba761746e8c7fe4,2025-10-03T14:29:21.436127+00:00,6,SVN,Slovenia,baseline_plus_one,1,EU,Europe,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,5390,,of the UK Strategic Export Control Lists).," of the UK Strategic Export Control Lists).
        ",ParseError: decision not found,164,298,462,runs_done_openrouter_gemini2_5.csv,gemini2.5,False
ef58af99b4969afe,2025-10-03T14:30:07.765730+00:00,34,GMB,Gambia,baseline_plus_one,0,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,12612,,,"



",ParseError: decision not found,649,284,933,runs_done_openrouter_gemini2_5.csv,gemini2.5,False
45477bf94dc94912,2025-10-03T14:37:40.572496+00:00,6,MDG,Madagascar,baseline_plus_one,1,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,6383,,*," of the UK Strategic Export Control Lists).
        *",ParseError: decision not found,164,298,462,runs_done_openrouter_gemini2_5.csv,gemini2.5,False
