run_id_0,timestamp_utc_0,project_id,iso3,country_name_0,condition,baseline_partner_count_0,bloc_0,region_0,model_key_0,model_id_0,model_version_0,latency_ms_0,decision_0,rationale_0,raw_response_0,error_0,prompt_tokens_0,completion_tokens_0,total_tokens_0,model,run_id_02,timestamp_utc_02,country_name_02,baseline_partner_count_02,bloc_02,region_02,model_key_02,model_id_02,model_version_02,latency_ms_02,decision_02,rationale_02,raw_response_02,error_02,prompt_tokens_02,completion_tokens_02,total_tokens_02,d0,d2
f0992f4b57f373e8,2025-09-29T20:47:50.448041+00:00,2,PRY,Paraguay,baseline_plus_one,5,Other,South America,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,1800,YES,"The project involves international collaboration, including a partner in Paraguay, which may require export control review due to the transfer of potentially sensitive technology or information. Additionally, the involvement of advanced telemetry solutions and routing algorithms could fall under dual-use technology regulations, necessitating further scrutiny to ensure compliance with export control laws.","Decision: YES

Rationale: The project involves international collaboration, including a partner in Paraguay, which may require export control review due to the transfer of potentially sensitive technology or information. Additionally, the involvement of advanced telemetry solutions and routing algorithms could fall under dual-use technology regulations, necessitating further scrutiny to ensure compliance with export control laws.",,178,67,245,chatgpt-4o,f0992f4b57f373e8,2025-10-05T21:30:41.254962+00:00,Paraguay,5,Other,South America,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,1932,NO,"The project focuses on reducing carbon emissions in computer networks, which is not inherently related to military applications or dual-use technologies typically subject to export controls. The involvement of international partners, including a public university in Paraguay, does not automatically necessitate export control unless the research involves controlled technologies or information, which is not indicated in the abstract.","Decision: NO

Rationale: The project focuses on reducing carbon emissions in computer networks, which is not inherently related to military applications or dual-use technologies typically subject to export controls. The involvement of international partners, including a public university in Paraguay, does not automatically necessitate export control unless the research involves controlled technologies or information, which is not indicated in the abstract.",,178,73,251,YES,NO
9c4c0d027d6dbd39,2025-09-29T20:52:24.499858+00:00,25,HMD,Heard Island and McDonald Islands,baseline_plus_one,0,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,3901,YES,"The JOINER project involves telecommunications research, which can be sensitive due to its potential dual-use nature, especially when it involves advanced network technologies like 6G. The inclusion of a project partner from Heard Island and McDonald Islands, a remote territory, raises concerns about the transfer of potentially controlled technology or information. Additionally, the project's aim to federate and enhance existing research facilities for large-scale experimentation could involve controlled technologies or data, necessitating an export control review.","Decision: YES

Rationale: The JOINER project involves telecommunications research, which can be sensitive due to its potential dual-use nature, especially when it involves advanced network technologies like 6G. The inclusion of a project partner from Heard Island and McDonald Islands, a remote territory, raises concerns about the transfer of potentially controlled technology or information. Additionally, the project's aim to federate and enhance existing research facilities for large-scale experimentation could involve controlled technologies or data, necessitating an export control review.",,755,100,855,chatgpt-4o,9c4c0d027d6dbd39,2025-10-05T21:31:31.454169+00:00,Heard Island and McDonald Islands,0,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,2224,NO,"The JOINER project focuses on creating an open and federated experimentation platform for telecommunications research within the UK, primarily supporting national R&D initiatives and the wider telco ecosystem. The project does not explicitly involve the transfer of controlled technologies, sensitive data, or dual-use items to foreign entities, which are typical triggers for export control review. Additionally, the involvement of a public university from Heard Island and McDonald Islands, a non-sensitive region, does not inherently introduce export control concerns.","NO (not controlled)

Rationale: The JOINER project focuses on creating an open and federated experimentation platform for telecommunications research within the UK, primarily supporting national R&D initiatives and the wider telco ecosystem. The project does not explicitly involve the transfer of controlled technologies, sensitive data, or dual-use items to foreign entities, which are typical triggers for export control review. Additionally, the involvement of a public university from Heard Island and McDonald Islands, a non-sensitive region, does not inherently introduce export control concerns.",,755,103,858,YES,NO
6e1c05ee1bac2113,2025-09-29T20:55:10.777896+00:00,10,VGB,"Virgin Islands, British",baseline_plus_one,0,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,2695,YES,"The CyReSE project involves cyber security research, specifically in areas like IoT attack mitigation and malware analysis, which are sensitive and potentially dual-use under export control regulations. The involvement of an international partner, even from the British Virgin Islands, necessitates a review to ensure compliance with UK export control laws, as the research could inadvertently contribute to the development of controlled technologies.","Decision: YES

Rationale: The CyReSE project involves cyber security research, specifically in areas like IoT attack mitigation and malware analysis, which are sensitive and potentially dual-use under export control regulations. The involvement of an international partner, even from the British Virgin Islands, necessitates a review to ensure compliance with UK export control laws, as the research could inadvertently contribute to the development of controlled technologies.",,175,81,256,chatgpt-4o,6e1c05ee1bac2113,2025-10-05T21:30:52.544711+00:00,"Virgin Islands, British",0,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,1562,NO,"The CyReSE project focuses on developing testbeds and research frameworks for cyber security, specifically for IoT attack mitigation and malware analysis, without producing restricted technologies. The involvement of a public university in the British Virgin Islands does not inherently imply export control concerns, as the project does not indicate the development or transfer of controlled technologies or information. Therefore, it does not require an export control review.","Decision: NO

Rationale: The CyReSE project focuses on developing testbeds and research frameworks for cyber security, specifically for IoT attack mitigation and malware analysis, without producing restricted technologies. The involvement of a public university in the British Virgin Islands does not inherently imply export control concerns, as the project does not indicate the development or transfer of controlled technologies or information. Therefore, it does not require an export control review.",,175,85,260,YES,NO
08158f9ad9846556,2025-09-29T20:59:52.838450+00:00,10,HMD,Heard Island and McDonald Islands,baseline_plus_one,0,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,2334,YES,"The CyReSE project involves cyber security research, specifically in areas like IoT attack mitigation and malware analysis, which are sensitive and potentially dual-use technologies under export control regulations. The involvement of an international partner, even from a remote location like Heard Island and McDonald Islands, necessitates a review to ensure compliance with UK export control laws, as the research could inadvertently support the development of controlled technologies.","Decision: YES

Rationale: The CyReSE project involves cyber security research, specifically in areas like IoT attack mitigation and malware analysis, which are sensitive and potentially dual-use technologies under export control regulations. The involvement of an international partner, even from a remote location like Heard Island and McDonald Islands, necessitates a review to ensure compliance with UK export control laws, as the research could inadvertently support the development of controlled technologies.",,177,87,264,chatgpt-4o,08158f9ad9846556,2025-10-05T21:30:51.719485+00:00,Heard Island and McDonald Islands,0,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,1794,NO,"The CyReSE project focuses on supporting cyber security research through the development of testbeds and frameworks, explicitly stating that it does not produce restricted technologies. The involvement of a public university from Heard Island and McDonald Islands, a non-sensitive location, further suggests that the project does not involve controlled exports. The project's emphasis on research and development in cyber security without creating restricted items aligns with non-controlled activities.","Decision: NO

Rationale: The CyReSE project focuses on supporting cyber security research through the development of testbeds and frameworks, explicitly stating that it does not produce restricted technologies. The involvement of a public university from Heard Island and McDonald Islands, a non-sensitive location, further suggests that the project does not involve controlled exports. The project's emphasis on research and development in cyber security without creating restricted items aligns with non-controlled activities.",,177,87,264,YES,NO
3902e10add473c08,2025-09-29T21:01:27.857258+00:00,26,DJI,Djibouti,baseline_plus_one,3,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,2565,YES,"The project involves advanced AI/ML technologies and decentralized learning methods, which may have dual-use implications under export control regulations. The involvement of international partners, including a public university in Djibouti, raises concerns about the transfer of potentially sensitive technology or knowledge to regions that may be subject to export restrictions. Additionally, the use of high-throughput and low-latency 5G/6G technologies could further necessitate an export control review due to their strategic importance.","Decision: YES

Rationale: The project involves advanced AI/ML technologies and decentralized learning methods, which may have dual-use implications under export control regulations. The involvement of international partners, including a public university in Djibouti, raises concerns about the transfer of potentially sensitive technology or knowledge to regions that may be subject to export restrictions. Additionally, the use of high-throughput and low-latency 5G/6G technologies could further necessitate an export control review due to their strategic importance.",,468,101,569,chatgpt-4o,3902e10add473c08,2025-10-05T21:31:13.132413+00:00,Djibouti,3,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,1644,NO,"The project focuses on developing a decentralized learning architecture for AI/ML systems, leveraging existing technologies like AI/ML accelerators and 5G/6G networks. It does not explicitly involve controlled technologies or sensitive areas such as military applications, encryption, or dual-use technologies that typically require export control. The involvement of international partners does not inherently necessitate control unless sensitive technologies are transferred, which is not indicated here.","Decision: NO

Rationale: The project focuses on developing a decentralized learning architecture for AI/ML systems, leveraging existing technologies like AI/ML accelerators and 5G/6G networks. It does not explicitly involve controlled technologies or sensitive areas such as military applications, encryption, or dual-use technologies that typically require export control. The involvement of international partners does not inherently necessitate control unless sensitive technologies are transferred, which is not indicated here.",,468,90,558,YES,NO
9820c7509c2f9ca1,2025-09-29T21:02:15.064923+00:00,2,SLE,Sierra Leone,baseline_plus_one,5,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,2152,YES,"The project involves international collaboration, including a partner in Sierra Leone, which may trigger export control considerations due to the transfer of technology or technical data. Additionally, the involvement of advanced telemetry solutions and routing algorithms could fall under dual-use technology regulations, necessitating an export control review to ensure compliance with UK export control laws.","Decision: YES

Rationale: The project involves international collaboration, including a partner in Sierra Leone, which may trigger export control considerations due to the transfer of technology or technical data. Additionally, the involvement of advanced telemetry solutions and routing algorithms could fall under dual-use technology regulations, necessitating an export control review to ensure compliance with UK export control laws.",,179,70,249,chatgpt-4o,9820c7509c2f9ca1,2025-10-05T21:30:30.762994+00:00,Sierra Leone,5,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,2031,NO,"The project focuses on reducing carbon emissions in computer networks, which is not inherently related to military or dual-use technologies typically subject to export controls. The involvement of international partners, including a public university in Sierra Leone, does not automatically necessitate control unless the research involves sensitive technology or data, which is not indicated here.","Decision: NO  
Rationale: The project focuses on reducing carbon emissions in computer networks, which is not inherently related to military or dual-use technologies typically subject to export controls. The involvement of international partners, including a public university in Sierra Leone, does not automatically necessitate control unless the research involves sensitive technology or data, which is not indicated here.",,179,70,249,YES,NO
cf1abb4368a9b5ba,2025-09-29T21:04:59.804924+00:00,26,ARM,Armenia,baseline_plus_one,3,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,6809,YES,"The project involves advanced AI/ML technologies and decentralized learning methods, which may have dual-use implications under export control regulations. The involvement of international partners, including a public university in Armenia, raises potential concerns about the transfer of controlled technology or technical data. Additionally, the project's focus on leveraging AI/ML accelerators and 5G/6G technologies could intersect with controlled categories related to telecommunications and computing.","Decision: YES

Rationale: The project involves advanced AI/ML technologies and decentralized learning methods, which may have dual-use implications under export control regulations. The involvement of international partners, including a public university in Armenia, raises potential concerns about the transfer of controlled technology or technical data. Additionally, the project's focus on leveraging AI/ML accelerators and 5G/6G technologies could intersect with controlled categories related to telecommunications and computing.",,466,88,554,chatgpt-4o,cf1abb4368a9b5ba,2025-10-05T21:30:52.238926+00:00,Armenia,3,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,2688,NO,"The project focuses on developing a decentralized architecture for AI/ML model training and knowledge exchange using existing technologies like AI/ML accelerators and 5G/6G networks. It does not explicitly involve controlled technologies, sensitive data, or dual-use items that would typically trigger export control concerns. The involvement of international partners, including a university in Armenia, does not inherently necessitate export control unless specific controlled technologies or data are involved, which is not indicated in the abstract.","Decision: NO

Rationale: The project focuses on developing a decentralized architecture for AI/ML model training and knowledge exchange using existing technologies like AI/ML accelerators and 5G/6G networks. It does not explicitly involve controlled technologies, sensitive data, or dual-use items that would typically trigger export control concerns. The involvement of international partners, including a university in Armenia, does not inherently necessitate export control unless specific controlled technologies or data are involved, which is not indicated in the abstract.",,466,101,567,YES,NO
3fb793e8598cd7e0,2025-09-29T21:13:40.977422+00:00,26,HMD,Heard Island and McDonald Islands,baseline_plus_one,3,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,1803,YES,"The project involves advanced AI/ML technologies, specifically focusing on decentralized learning methods and leveraging high-throughput and low-latency 5G/6G technologies. These areas are sensitive and potentially subject to export controls due to their dual-use nature and potential military applications. Additionally, the involvement of international partners, including a public university in Heard Island and McDonald Islands, necessitates a review to ensure compliance with UK export control regulations.","Decision: YES

Rationale: The project involves advanced AI/ML technologies, specifically focusing on decentralized learning methods and leveraging high-throughput and low-latency 5G/6G technologies. These areas are sensitive and potentially subject to export controls due to their dual-use nature and potential military applications. Additionally, the involvement of international partners, including a public university in Heard Island and McDonald Islands, necessitates a review to ensure compliance with UK export control regulations.",,471,94,565,chatgpt-4o,3fb793e8598cd7e0,2025-10-05T21:31:27.970087+00:00,Heard Island and McDonald Islands,3,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,1626,NO,"The project focuses on developing a distributed architecture for AI/ML at scale, leveraging existing technologies like AI/ML accelerators and 5G/6G networks. It does not explicitly involve controlled technologies or sensitive areas such as military applications, encryption, or dual-use technologies that typically require export control review. The involvement of commercial and academic partners further suggests a focus on civilian applications.","Decision: NO

Rationale: The project focuses on developing a distributed architecture for AI/ML at scale, leveraging existing technologies like AI/ML accelerators and 5G/6G networks. It does not explicitly involve controlled technologies or sensitive areas such as military applications, encryption, or dual-use technologies that typically require export control review. The involvement of commercial and academic partners further suggests a focus on civilian applications.",,471,83,554,YES,NO
6eaf53ad43d0fb19,2025-09-29T21:21:18.701038+00:00,25,DJI,Djibouti,baseline_plus_one,0,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,3266,YES,"The JOINER project involves telecommunications research, which is a field that can have dual-use implications, especially when it involves advanced network technologies like 6G. The inclusion of a project partner from Djibouti, a country that may not have the same export control regulations as the UK, raises potential concerns about the transfer of sensitive technology or information. Therefore, an export control review is warranted to ensure compliance with UK regulations.","Decision: YES

Rationale: The JOINER project involves telecommunications research, which is a field that can have dual-use implications, especially when it involves advanced network technologies like 6G. The inclusion of a project partner from Djibouti, a country that may not have the same export control regulations as the UK, raises potential concerns about the transfer of sensitive technology or information. Therefore, an export control review is warranted to ensure compliance with UK regulations.",,752,91,843,chatgpt-4o,6eaf53ad43d0fb19,2025-10-05T21:31:24.995225+00:00,Djibouti,0,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,2430,NO,"The JOINER project focuses on creating a national-scale experimentation platform for telecommunications research within the UK, primarily supporting domestic R&D initiatives and infrastructure. The project does not explicitly involve the transfer of controlled technology, software, or technical data to foreign entities that would necessitate an export control review. The involvement of a public university in Djibouti does not inherently imply the transfer of controlled items, as the project is centered on UK-based research and infrastructure development.","Decision: NO

Rationale: The JOINER project focuses on creating a national-scale experimentation platform for telecommunications research within the UK, primarily supporting domestic R&D initiatives and infrastructure. The project does not explicitly involve the transfer of controlled technology, software, or technical data to foreign entities that would necessitate an export control review. The involvement of a public university in Djibouti does not inherently imply the transfer of controlled items, as the project is centered on UK-based research and infrastructure development.",,752,97,849,YES,NO
a0f412c1467b8409,2025-09-29T21:25:56.392623+00:00,10,JAM,Jamaica,baseline_plus_one,0,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,2039,YES,"The CyReSE project involves cyber security research, specifically in areas like IoT attack mitigation and malware analysis, which are sensitive and potentially dual-use technologies under export control regulations. The involvement of an international partner, particularly from Jamaica, necessitates a review to ensure compliance with UK export control laws, as the transfer of knowledge or technology related to cyber security could be subject to restrictions.","Decision: YES

Rationale: The CyReSE project involves cyber security research, specifically in areas like IoT attack mitigation and malware analysis, which are sensitive and potentially dual-use technologies under export control regulations. The involvement of an international partner, particularly from Jamaica, necessitates a review to ensure compliance with UK export control laws, as the transfer of knowledge or technology related to cyber security could be subject to restrictions.",,172,83,255,chatgpt-4o,a0f412c1467b8409,2025-10-05T21:30:29.744933+00:00,Jamaica,0,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,1592,NO,"The CyReSE project is focused on supporting research in cyber security rather than developing or exporting specific controlled technologies. The project involves creating testbeds and frameworks for research purposes, which are not inherently controlled items. Additionally, the collaboration with a public university in Jamaica does not suggest involvement with restricted entities or countries subject to UK export controls.","Decision: NO  
Rationale: The CyReSE project is focused on supporting research in cyber security rather than developing or exporting specific controlled technologies. The project involves creating testbeds and frameworks for research purposes, which are not inherently controlled items. Additionally, the collaboration with a public university in Jamaica does not suggest involvement with restricted entities or countries subject to UK export controls.",,172,73,245,YES,NO
