run_id_0,timestamp_utc_0,project_id,iso3,country_name_0,condition,baseline_partner_count_0,bloc_0,region_0,model_key_0,model_id_0,model_version_0,latency_ms_0,decision_0,rationale_0,raw_response_0,error_0,prompt_tokens_0,completion_tokens_0,total_tokens_0,model,run_id_02,timestamp_utc_02,country_name_02,baseline_partner_count_02,bloc_02,region_02,model_key_02,model_id_02,model_version_02,latency_ms_02,decision_02,rationale_02,raw_response_02,error_02,prompt_tokens_02,completion_tokens_02,total_tokens_02,d0,d2,agree
ab422ef600738551,2025-09-29T20:41:30.226533+00:00,2,ALB,Albania,baseline_plus_one,5,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,2284,YES,"The project involves international collaboration, including a partner in Albania, which is not a member of the EU or the Wassenaar Arrangement. The focus on telemetry solutions and routing algorithms could involve dual-use technology, particularly in the context of telecommunications and networking, which are sensitive areas under export control regulations. Additionally, the involvement of multiple international partners, including those from the US, necessitates a review to ensure compliance with UK export control laws.","Decision: YES

Rationale: The project involves international collaboration, including a partner in Albania, which is not a member of the EU or the Wassenaar Arrangement. The focus on telemetry solutions and routing algorithms could involve dual-use technology, particularly in the context of telecommunications and networking, which are sensitive areas under export control regulations. Additionally, the involvement of multiple international partners, including those from the US, necessitates a review to ensure compliance with UK export control laws.",,178,94,272,chatgpt-4o,ab422ef600738551,2025-10-06T14:48:23.025911+00:00,Albania,5,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,2527,NO,"The project focuses on reducing carbon emissions in computer networks, which is not inherently related to military applications or dual-use technologies. The involvement of international partners, including a public university in Albania, does not automatically necessitate export control unless the research involves controlled technologies or data, which is not indicated in the abstract.","Decision: NO  
Rationale: The project focuses on reducing carbon emissions in computer networks, which is not inherently related to military applications or dual-use technologies. The involvement of international partners, including a public university in Albania, does not automatically necessitate export control unless the research involves controlled technologies or data, which is not indicated in the abstract.",,178,68,246,YES,NO,False
552b9377c6280bcf,2025-09-29T20:47:02.396829+00:00,25,BRB,Barbados,baseline_plus_one,0,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,4044,YES,"The JOINER project involves telecommunications research, which is a field that can have dual-use implications, particularly when it involves advanced network technologies like 6G. The inclusion of an international partner from Barbados necessitates an export control review to ensure compliance with UK export regulations, as the transfer of technology or technical data to foreign entities may be subject to control. Additionally, the project's focus on creating a large-scale, federated research infrastructure could involve sensitive technologies that require oversight.","Decision: YES

Rationale: The JOINER project involves telecommunications research, which is a field that can have dual-use implications, particularly when it involves advanced network technologies like 6G. The inclusion of an international partner from Barbados necessitates an export control review to ensure compliance with UK export regulations, as the transfer of technology or technical data to foreign entities may be subject to control. Additionally, the project's focus on creating a large-scale, federated research infrastructure could involve sensitive technologies that require oversight.",,750,100,850,chatgpt-4o,552b9377c6280bcf,2025-10-06T14:46:48.466536+00:00,Barbados,0,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,3181,NO,"The JOINER project focuses on creating a national-scale experimentation platform for telecommunications research within the UK, primarily supporting domestic R&D initiatives and infrastructure. It does not explicitly involve the transfer of controlled technology, software, or technical data to foreign entities that would typically trigger export control concerns. The involvement of a public university in Barbados as a project partner does not inherently imply the export of controlled items, especially since the project's aim is to federate existing UK-based facilities and support domestic research and innovation.","Decision: NO

Rationale: The JOINER project focuses on creating a national-scale experimentation platform for telecommunications research within the UK, primarily supporting domestic R&D initiatives and infrastructure. It does not explicitly involve the transfer of controlled technology, software, or technical data to foreign entities that would typically trigger export control concerns. The involvement of a public university in Barbados as a project partner does not inherently imply the export of controlled items, especially since the project's aim is to federate existing UK-based facilities and support domestic research and innovation.",,750,104,854,YES,NO,False
1c1ac8af44b76fb3,2025-09-29T20:49:30.630298+00:00,25,JPN,Japan,baseline_plus_one,0,Other,Asia,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,4190,YES,"The JOINER project involves international collaboration with a partner in Japan, which may require export control review due to the potential transfer of technology or technical data related to telecommunications networks. The project focuses on advanced telecommunications research, including 6G, which could involve controlled technologies under export control regulations. Additionally, the project's aim to generate and share large datasets for AI/ML tools further necessitates scrutiny under export control laws to ensure compliance with data transfer regulations.","Decision: YES

Rationale: The JOINER project involves international collaboration with a partner in Japan, which may require export control review due to the potential transfer of technology or technical data related to telecommunications networks. The project focuses on advanced telecommunications research, including 6G, which could involve controlled technologies under export control regulations. Additionally, the project's aim to generate and share large datasets for AI/ML tools further necessitates scrutiny under export control laws to ensure compliance with data transfer regulations.",,750,96,846,chatgpt-4o,1c1ac8af44b76fb3,2025-10-06T14:49:44.338006+00:00,Japan,0,Other,Asia,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,6079,NO,"The JOINER project focuses on creating a national-scale experimentation platform for telecommunications research within the UK, primarily supporting domestic R&D initiatives and infrastructure. It does not explicitly involve the transfer of controlled technology or technical data to foreign entities that would typically trigger export control concerns. While there is an international partner from Japan, the project's primary aim is to enhance UK-based research capabilities and infrastructure, which does not inherently fall under export control regulations.","Decision: NO

Rationale: The JOINER project focuses on creating a national-scale experimentation platform for telecommunications research within the UK, primarily supporting domestic R&D initiatives and infrastructure. It does not explicitly involve the transfer of controlled technology or technical data to foreign entities that would typically trigger export control concerns. While there is an international partner from Japan, the project's primary aim is to enhance UK-based research capabilities and infrastructure, which does not inherently fall under export control regulations.",,750,92,842,YES,NO,False
e04798846f7b88a0,2025-09-29T20:50:30.251713+00:00,10,MCO,Monaco,baseline_plus_one,0,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,2370,NO,"The CyReSE project focuses on research software engineering for cyber security, specifically in IoT attack mitigation and malware analysis, without producing restricted technologies. The project is conducted by a UK university with a partner in Monaco, a country not subject to UK export restrictions. The project does not involve the development or transfer of controlled technologies or information, thus not requiring export control review.","Decision: NO  
Rationale: The CyReSE project focuses on research software engineering for cyber security, specifically in IoT attack mitigation and malware analysis, without producing restricted technologies. The project is conducted by a UK university with a partner in Monaco, a country not subject to UK export restrictions. The project does not involve the development or transfer of controlled technologies or information, thus not requiring export control review.",,172,81,253,chatgpt-4o,e04798846f7b88a0,2025-10-06T14:49:29.775695+00:00,Monaco,0,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,2042,YES,"The project involves cyber security research, specifically in areas like IoT attack mitigation and malware analysis, which are sensitive and potentially dual-use technologies under export control regulations. Despite the claim of not producing restricted technologies, the development of testbeds and frameworks for cyber security could be subject to control due to their potential application in both civilian and military contexts. Additionally, the involvement of an international partner from Monaco necessitates careful consideration of export control compliance.","Decision: YES

Rationale: The project involves cyber security research, specifically in areas like IoT attack mitigation and malware analysis, which are sensitive and potentially dual-use technologies under export control regulations. Despite the claim of not producing restricted technologies, the development of testbeds and frameworks for cyber security could be subject to control due to their potential application in both civilian and military contexts. Additionally, the involvement of an international partner from Monaco necessitates careful consideration of export control compliance.",,172,94,266,NO,YES,False
b47d69b8a7eb9d4f,2025-09-29T20:56:54.287982+00:00,26,WLF,Wallis and Futuna,baseline_plus_one,3,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,2479,NO,"The project focuses on developing a decentralized learning architecture for AI/ML systems, leveraging existing technologies like AI/ML accelerators and 5G/6G networks. It does not explicitly involve controlled technologies or sensitive data that would typically trigger export control concerns. The involvement of international partners, including a public university in Wallis and Futuna, does not inherently necessitate export control unless specific controlled technologies or data are involved, which are not indicated in the abstract.","Decision: NO

Rationale: The project focuses on developing a decentralized learning architecture for AI/ML systems, leveraging existing technologies like AI/ML accelerators and 5G/6G networks. It does not explicitly involve controlled technologies or sensitive data that would typically trigger export control concerns. The involvement of international partners, including a public university in Wallis and Futuna, does not inherently necessitate export control unless specific controlled technologies or data are involved, which are not indicated in the abstract.",,470,99,569,chatgpt-4o,b47d69b8a7eb9d4f,2025-10-06T14:48:12.777029+00:00,Wallis and Futuna,3,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,3002,YES,"The project involves advanced AI/ML techniques, including decentralized learning methods and the use of AI/ML accelerators, which may fall under export control regulations due to their potential dual-use nature. The involvement of high-throughput and low-latency 5G/6G technologies further suggests potential military or strategic applications. Additionally, the project's collaboration with international partners, including a university in Wallis and Futuna, necessitates careful review to ensure compliance with export control laws.","Decision: YES (controlled)

Rationale: The project involves advanced AI/ML techniques, including decentralized learning methods and the use of AI/ML accelerators, which may fall under export control regulations due to their potential dual-use nature. The involvement of high-throughput and low-latency 5G/6G technologies further suggests potential military or strategic applications. Additionally, the project's collaboration with international partners, including a university in Wallis and Futuna, necessitates careful review to ensure compliance with export control laws.",,470,104,574,NO,YES,False
77b243221078842b,2025-09-29T20:58:03.087293+00:00,2,TTO,Trinidad and Tobago,baseline_plus_one,5,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,1807,YES,"The project involves international collaboration, including a partner in Trinidad and Tobago, which may require export control review due to the transfer of potentially sensitive technology or information. Additionally, the involvement of advanced telemetry solutions and routing algorithms in computer networks could fall under dual-use technology regulations, necessitating further scrutiny to ensure compliance with export control laws.","Decision: YES

Rationale: The project involves international collaboration, including a partner in Trinidad and Tobago, which may require export control review due to the transfer of potentially sensitive technology or information. Additionally, the involvement of advanced telemetry solutions and routing algorithms in computer networks could fall under dual-use technology regulations, necessitating further scrutiny to ensure compliance with export control laws.",,180,72,252,chatgpt-4o,77b243221078842b,2025-10-06T14:46:23.411728+00:00,Trinidad and Tobago,5,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,2859,NO,"The project focuses on reducing carbon emissions in computer networks, which is not inherently related to military or dual-use technologies typically subject to export control. The involvement of international partners, including a university in Trinidad and Tobago, does not automatically necessitate export control unless the research involves sensitive technologies or data, which is not indicated in the abstract.","Decision: NO

Rationale: The project focuses on reducing carbon emissions in computer networks, which is not inherently related to military or dual-use technologies typically subject to export control. The involvement of international partners, including a university in Trinidad and Tobago, does not automatically necessitate export control unless the research involves sensitive technologies or data, which is not indicated in the abstract.",,180,73,253,YES,NO,False
7fe78858032a4e01,2025-09-29T21:01:50.534726+00:00,10,BRB,Barbados,baseline_plus_one,0,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,2922,YES,"The CyReSE project involves cyber security research, specifically in areas like IoT attack mitigation and malware analysis, which are sensitive and potentially dual-use technologies under export control regulations. The involvement of an international partner, a public university in Barbados, further necessitates an export control review to ensure compliance with UK export control laws, as the transfer of knowledge or technology related to cyber security could be subject to restrictions.","Decision: YES

Rationale: The CyReSE project involves cyber security research, specifically in areas like IoT attack mitigation and malware analysis, which are sensitive and potentially dual-use technologies under export control regulations. The involvement of an international partner, a public university in Barbados, further necessitates an export control review to ensure compliance with UK export control laws, as the transfer of knowledge or technology related to cyber security could be subject to restrictions.",,172,88,260,chatgpt-4o,7fe78858032a4e01,2025-10-06T14:50:15.635257+00:00,Barbados,0,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,3208,NO,"The CyReSE project is focused on supporting research in cyber security without producing restricted technologies. The development of testbeds and research frameworks for IoT attack mitigation and malware analysis does not inherently involve controlled technology or data. Additionally, the involvement of a public university in Barbados does not automatically trigger export control concerns, as the project does not specify the transfer of controlled items or information.","Decision: NO  
Rationale: The CyReSE project is focused on supporting research in cyber security without producing restricted technologies. The development of testbeds and research frameworks for IoT attack mitigation and malware analysis does not inherently involve controlled technology or data. Additionally, the involvement of a public university in Barbados does not automatically trigger export control concerns, as the project does not specify the transfer of controlled items or information.",,172,82,254,YES,NO,False
9820c7509c2f9ca1,2025-09-29T21:02:15.064923+00:00,2,SLE,Sierra Leone,baseline_plus_one,5,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,2152,YES,"The project involves international collaboration, including a partner in Sierra Leone, which may trigger export control considerations due to the transfer of technology or technical data. Additionally, the involvement of advanced telemetry solutions and routing algorithms could fall under dual-use technology regulations, necessitating an export control review to ensure compliance with UK export control laws.","Decision: YES

Rationale: The project involves international collaboration, including a partner in Sierra Leone, which may trigger export control considerations due to the transfer of technology or technical data. Additionally, the involvement of advanced telemetry solutions and routing algorithms could fall under dual-use technology regulations, necessitating an export control review to ensure compliance with UK export control laws.",,179,70,249,chatgpt-4o,9820c7509c2f9ca1,2025-10-06T14:48:27.409397+00:00,Sierra Leone,5,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,1576,NO,"The project focuses on reducing carbon emissions in computer networks, which is a civilian application aimed at addressing climate change. The involvement of international partners, including a public university in Sierra Leone, does not inherently imply military or dual-use technology concerns. The project's objectives and partners suggest it is not subject to export control regulations.","Decision: NO  
Rationale: The project focuses on reducing carbon emissions in computer networks, which is a civilian application aimed at addressing climate change. The involvement of international partners, including a public university in Sierra Leone, does not inherently imply military or dual-use technology concerns. The project's objectives and partners suggest it is not subject to export control regulations.",,179,69,248,YES,NO,False
3c1c0101b2860a70,2025-09-29T21:03:17.411351+00:00,25,ALB,Albania,baseline_plus_one,0,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,4125,YES,"The JOINER project involves telecommunications research, which is a field that can have dual-use implications, especially when it involves advanced network technologies like 6G. The inclusion of a project partner from Albania, a non-Wassenaar Arrangement country, raises potential export control concerns due to the transfer of technology and knowledge that could be sensitive. The project's focus on creating a large-scale, federated research infrastructure with international collaboration necessitates an export control review to ensure compliance with UK regulations.","Decision: YES

Rationale: The JOINER project involves telecommunications research, which is a field that can have dual-use implications, especially when it involves advanced network technologies like 6G. The inclusion of a project partner from Albania, a non-Wassenaar Arrangement country, raises potential export control concerns due to the transfer of technology and knowledge that could be sensitive. The project's focus on creating a large-scale, federated research infrastructure with international collaboration necessitates an export control review to ensure compliance with UK regulations.",,750,102,852,chatgpt-4o,3c1c0101b2860a70,2025-10-06T14:46:51.375710+00:00,Albania,0,Other,Other,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,2885,NO,"The JOINER project focuses on creating a national-scale experimentation platform for telecommunications research within the UK, primarily supporting domestic R&D initiatives and infrastructure. It does not explicitly involve the transfer of controlled technology, software, or technical data to foreign entities that would typically trigger export control concerns. The involvement of a public university in Albania as a project partner does not inherently imply the export of controlled items, as the project description emphasizes open and collaborative research within the UK.","Decision: NO

Rationale: The JOINER project focuses on creating a national-scale experimentation platform for telecommunications research within the UK, primarily supporting domestic R&D initiatives and infrastructure. It does not explicitly involve the transfer of controlled technology, software, or technical data to foreign entities that would typically trigger export control concerns. The involvement of a public university in Albania as a project partner does not inherently imply the export of controlled items, as the project description emphasizes open and collaborative research within the UK.",,750,97,847,YES,NO,False
bd44c278daaded1e,2025-09-29T21:05:28.687214+00:00,2,TUN,Tunisia,baseline_plus_one,5,Other,Africa,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,2823,YES,"The project involves international collaboration, including a partner in Tunisia, which may require export control review due to potential technology transfer. Additionally, the involvement of advanced telemetry solutions and routing algorithms could fall under dual-use technology regulations, necessitating further scrutiny to ensure compliance with export control laws.","Decision: YES

Rationale: The project involves international collaboration, including a partner in Tunisia, which may require export control review due to potential technology transfer. Additionally, the involvement of advanced telemetry solutions and routing algorithms could fall under dual-use technology regulations, necessitating further scrutiny to ensure compliance with export control laws.",,178,62,240,chatgpt-4o,bd44c278daaded1e,2025-10-06T14:47:30.883006+00:00,Tunisia,5,Other,Africa,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,1664,NO,"The project focuses on reducing carbon emissions in computer networks, which is a civilian application. The involvement of international partners, including a public university in Tunisia, does not inherently imply military or dual-use technology concerns. The project's emphasis on telemetry and routing algorithms for environmental purposes does not typically fall under export control regulations.","Decision: NO  
Rationale: The project focuses on reducing carbon emissions in computer networks, which is a civilian application. The involvement of international partners, including a public university in Tunisia, does not inherently imply military or dual-use technology concerns. The project's emphasis on telemetry and routing algorithms for environmental purposes does not typically fall under export control regulations.",,178,68,246,YES,NO,False
