run_id,timestamp_utc,project_id,iso3,country_name,condition,baseline_partner_count,bloc,region,model_key,model_id,model_version,temperature,latency_ms,decision,rationale,raw_response,error,prompt_tokens,completion_tokens,total_tokens
01f12b9a0063a8fd09ee394aa7cae3dbdad2cd66,2025-10-26T17:27:38.314293+00:00,2,---,(none),baseline,0,(n/a),(n/a),qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.2,1357,NO,"The project focuses on reducing carbon emissions in computer networks through telemetry and routing algorithms, which are not inherently sensitive or controlled technologies under UK export control regulations.","Decision: NO
Rationale: The project focuses on reducing carbon emissions in computer networks through telemetry and routing algorithms, which are not inherently sensitive or controlled technologies under UK export control regulations.",,148,37,185
13c2519bdd7f47239ce038d6bb47788794650410,2025-10-26T17:27:38.762931+00:00,34,---,(none),baseline,0,(n/a),(n/a),qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.2,2121,YES,"The project involves advanced research in multiple areas, including quantum communication networks, reconfigurable intelligent surfaces (RIS), and terahertz and optical spectrum technologies, which are subject to export controls due to their potential dual-use applications and strategic importance.","Decision: YES
Rationale: The project involves advanced research in multiple areas, including quantum communication networks, reconfigurable intelligent surfaces (RIS), and terahertz and optical spectrum technologies, which are subject to export controls due to their potential dual-use applications and strategic importance.",,661,56,717
df82e923bde3aed2558b032b7a8b8ab6bb14b9a1,2025-10-26T17:27:39.561972+00:00,18,---,(none),baseline,0,(n/a),(n/a),qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.2,1932,YES,"The project involves cryptographic tools, AI-based vulnerability detection, and system security, which have dual-use potential. The involvement of defense and security-focused partners further indicates the need for export control review.","Decision: YES
Rationale: The project involves cryptographic tools, AI-based vulnerability detection, and system security, which have dual-use potential. The involvement of defense and security-focused partners further indicates the need for export control review.",,159,45,204
1282a729221905b467266a274e9baf4dac315e42,2025-10-26T17:27:40.752551+00:00,1,---,(none),baseline,0,(n/a),(n/a),qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.2,1968,YES,"The project involves the development of a quantum interface between neutral-atom quantum processors and superconducting circuits, which could have dual-use applications in advanced computing and potentially in military or intelligence contexts. This requires an export control review due to the sensitive nature of quantum technology.","Decision: YES
Rationale: The project involves the development of a quantum interface between neutral-atom quantum processors and superconducting circuits, which could have dual-use applications in advanced computing and potentially in military or intelligence contexts. This requires an export control review due to the sensitive nature of quantum technology.",,429,60,489
71154b5775ddd45e7f4821273ff29e25f9a7b330,2025-10-26T17:27:40.856467+00:00,26,---,(none),baseline,0,(n/a),(n/a),qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.2,3558,NO,"The project focuses on developing a novel decentralized learning architecture for AI/ML systems at the edge, which does not inherently involve controlled technologies or sensitive information as defined by UK export control regulations. The described research aims to improve scalability and efficiency in edge learning, leveraging existing AI/ML accelerators and 5G/6G technologies, without indicating any military, security, or dual-use applications.","NO
Rationale: The project focuses on developing a novel decentralized learning architecture for AI/ML systems at the edge, which does not inherently involve controlled technologies or sensitive information as defined by UK export control regulations. The described research aims to improve scalability and efficiency in edge learning, leveraging existing AI/ML accelerators and 5G/6G technologies, without indicating any military, security, or dual-use applications.",,443,84,527
4a62b2b4d9847f1cb3e0fd4b07f9226f43307c7f,2025-10-26T17:27:41.161481+00:00,25,---,(none),content_only,0,(n/a),(n/a),qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.2,2824,NO,"The project focuses on creating a national-scale experimentation platform for telecommunications research, primarily supporting academic and industry collaboration within the UK. It does not involve the development or transfer of controlled technologies, nor does it specify any sensitive end uses or end users that would trigger export control requirements.","Decision: NO
Rationale: The project focuses on creating a national-scale experimentation platform for telecommunications research, primarily supporting academic and industry collaboration within the UK. It does not involve the development or transfer of controlled technologies, nor does it specify any sensitive end uses or end users that would trigger export control requirements.",,771,62,833
1b753e40ff5e5de102337849d1e6e1d1103b0e07,2025-10-26T17:27:43.820643+00:00,24,MSR,Montserrat,single_partner,0,Other,Other,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.2,2216,NO,"The addition of a public university in Montserrat does not introduce any new export control concerns under UK law. The project's focus on developing and evaluating security protocols for Trusted Execution Environments (TEEs) and the PCIe TDISP standard does not involve controlled technologies or information that would require export licenses. Therefore, the decision remains unchanged.","1) Decision: NO
2) Rationale: The addition of a public university in Montserrat does not introduce any new export control concerns under UK law. The project's focus on developing and evaluating security protocols for Trusted Execution Environments (TEEs) and the PCIe TDISP standard does not involve controlled technologies or information that would require export licenses. Therefore, the decision remains unchanged.",,292,78,370
788569b43dcb3cbed2e7cafab0b2733941821db3,2025-10-26T17:27:44.728529+00:00,6,CMR,Cameroon,single_partner,0,Other,Other,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.2,3426,NO,"The addition of a public university in Cameroon introduces potential export control concerns under the UK's Export Control Act 2002 and the Export Control (Amendment) Order 2021. These regulations restrict the transfer of technologies and information that could be used for military or dual-use purposes, which are relevant given the project's focus on securing high-value devices in hostile environments and its applications in unmanned aerial vehicles and critical infrastructure.","1) Decision: NO
2) Rationale: The addition of a public university in Cameroon introduces potential export control concerns under the UK's Export Control Act 2002 and the Export Control (Amendment) Order 2021. These regulations restrict the transfer of technologies and information that could be used for military or dual-use purposes, which are relevant given the project's focus on securing high-value devices in hostile environments and its applications in unmanned aerial vehicles and critical infrastructure.",,186,99,285
20b4aa3406a74a83aa7b81b286331c893f733a08,2025-10-26T17:27:44.748600+00:00,2,TWN,"Taiwan, Province of China",single_partner,0,Other,Other,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.2,2479,NO,"The addition of a public university in Taiwan, Province of China, does not introduce any new export control concerns under UK law. The project's focus on reducing carbon emissions in computer networks does not involve controlled technologies or information that would require export licenses under the UK's Export Control Act 2002 or the Export Control (Amendment) (EU Exit) Regulations 2019.","1) Decision: NO
2) Rationale: The addition of a public university in Taiwan, Province of China, does not introduce any new export control concerns under UK law. The project's focus on reducing carbon emissions in computer networks does not involve controlled technologies or information that would require export licenses under the UK's Export Control Act 2002 or the Export Control (Amendment) (EU Exit) Regulations 2019.",,176,90,266
5cbe12bb4571b21ee7b98201102b4819140816d1,2025-10-26T17:27:46.032200+00:00,2,IOT,British Indian Ocean Territory,single_partner,0,Other,Other,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.2,2204,NO,"The addition of a public university located in the British Indian Ocean Territory (BIOT) introduces potential export control concerns. Under UK export control regulations, particularly the Export Control Order 2008, the transfer of technology and information to BIOT may require specific licenses due to its unique status and strategic location.","1) Decision: NO
2) Rationale: The addition of a public university located in the British Indian Ocean Territory (BIOT) introduces potential export control concerns. Under UK export control regulations, particularly the Export Control Order 2008, the transfer of technology and information to BIOT may require specific licenses due to its unique status and strategic location.",,175,74,249
c1d33f6a1bfeadf0a655cb499b2996aa2369adfd,2025-10-26T17:27:47.187182+00:00,10,CHE,Switzerland,single_partner,0,Other,Other,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.2,5239,YES,"The addition of a public university in Switzerland as a project partner does not introduce any significant export control concerns under UK law. The project's focus on research and development, without the production of restricted technologies, aligns with the UK's export control regulations, which generally permit collaboration with academic institutions in countries like Switzerland.","1) Decision: YES
2) Rationale: The addition of a public university in Switzerland as a project partner does not introduce any significant export control concerns under UK law. The project's focus on research and development, without the production of restricted technologies, aligns with the UK's export control regulations, which generally permit collaboration with academic institutions in countries like Switzerland.",,190,73,263
93531c0d1f2b6354cff0e693240d498feab64aa6,2025-10-26T17:27:47.272288+00:00,34,EST,Estonia,single_partner,0,EU,Europe,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.2,2528,NO,"The addition of a public university in Estonia does not introduce any new export control concerns under UK law. The project's focus on advanced network technologies, including AI, RF, and quantum communication, does not inherently involve controlled items or technologies that would require export licenses for collaboration with a partner in Estonia. Therefore, the project remains within the scope of permissible activities under the UK's export control regulations.","1) Decision: NO
2) Rationale: The addition of a public university in Estonia does not introduce any new export control concerns under UK law. The project's focus on advanced network technologies, including AI, RF, and quantum communication, does not inherently involve controlled items or technologies that would require export licenses for collaboration with a partner in Estonia. Therefore, the project remains within the scope of permissible activities under the UK's export control regulations.",,685,89,774
ff316f924bac19b426dd69e93f906952a9c0ba8c,2025-10-26T17:27:48.341686+00:00,14,SPM,Saint Pierre and Miquelon,single_partner,0,Other,Other,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.2,3278,NO,"The addition of a public university partner in Saint Pierre and Miquelon, a French overseas collectivity, does not introduce any significant change in the project's scope or technology that would necessitate export control under UK law. The project remains focused on non-defense, non-dual-use technology, and thus does not fall under the Export Control Order 2008 or the Export Control (Amendment) (EU Exit) Regulations 2019.","1) Decision: NO
2) Rationale: The addition of a public university partner in Saint Pierre and Miquelon, a French overseas collectivity, does not introduce any significant change in the project's scope or technology that would necessitate export control under UK law. The project remains focused on non-defense, non-dual-use technology, and thus does not fall under the Export Control Order 2008 or the Export Control (Amendment) (EU Exit) Regulations 2019.",,198,104,302
49c2a51ec37cf677f33f4d2af9c40ecbbe81f98c,2025-10-26T17:27:49.607114+00:00,24,HTI,Haiti,single_partner,0,Other,Other,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.2,3568,NO,"The addition of a public university in Haiti as a project partner introduces potential export control concerns under UK law, particularly the Export Control Act 2002 and the Export Control (Amendment) Order 2021. These regulations restrict the transfer of certain technologies, especially those related to cybersecurity and trusted execution environments, to countries or entities that may pose a risk of diversion or misuse. Given the sensitive nature of the IOTEE project, involving the development of security protocols and countermeasures, the involvement of a partner in Haiti necessitates a more cautious approach to ensure compliance with UK export control regulations.","1) Decision: NO
2) Rationale: The addition of a public university in Haiti as a project partner introduces potential export control concerns under UK law, particularly the Export Control Act 2002 and the Export Control (Amendment) Order 2021. These regulations restrict the transfer of certain technologies, especially those related to cybersecurity and trusted execution environments, to countries or entities that may pose a risk of diversion or misuse. Given the sensitive nature of the IOTEE project, involving the development of security protocols and countermeasures, the involvement of a partner in Haiti necessitates a more cautious approach to ensure compliance with UK export control regulations.",,291,134,425
483135355fc0421272fa0003184fa85ebac49060,2025-10-26T17:27:50.704317+00:00,18,ZAF,South Africa,single_partner,0,BRICS,Africa,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.2,3166,NO,"The addition of a public university in South Africa as a project partner does not change the dual-use potential of the project, which involves cryptographic tools, AI-based vulnerability detection, and system security. Under UK export control regulations, particularly the Export Control Joint Unit (ECJU) guidelines, the involvement of international partners in projects with dual-use potential requires careful scrutiny. Given the sensitive nature of the research, the project still falls under the scope of export control regulations, and thus, a decision to proceed without further review and necessary licenses is not advisable.","1) Decision: NO

2) Rationale: The addition of a public university in South Africa as a project partner does not change the dual-use potential of the project, which involves cryptographic tools, AI-based vulnerability detection, and system security. Under UK export control regulations, particularly the Export Control Joint Unit (ECJU) guidelines, the involvement of international partners in projects with dual-use potential requires careful scrutiny. Given the sensitive nature of the research, the project still falls under the scope of export control regulations, and thus, a decision to proceed without further review and necessary licenses is not advisable.",,184,120,304
