run_id,template_version,stage,parent_run_id,project_id,iso3,country_name,condition,baseline_partner_count,bloc,region,partner_type,prompt_text,prompt_hash,prompt_len_chars,prompt_len_tokens_est,s1_decision_hint,s1_rationale_hint
e8647807090ba12bdf4e82e6976376d2c8da8425,e3-countryonly-v1,SINGLE,,1,ABW,Aruba,country_only,0,Other,Other,a public university,"You are assessing whether the following UK research activity requires export control review.
Return exactly one label: YES (controlled) or NO (not controlled), then a one-sentence rationale.
Use only the information provided. Do not assume technical details, end use, end user, or sanctions exposure unless stated.

Jurisdictional scope: UK/EU dual-use and sanctions (do not cite US-specific regimes).

Project: A UK-based academic research project (no additional technical details).
International partner: a public university located in Aruba.

Decision: YES/NO
Rationale:",9d581770d89d528bd05a541fb80f2aecc52782ca,573,143,,
d9311635fa9889d07166acd6675ed602ca87a5e2,e3-countryonly-v1,SINGLE,,1,AFG,Afghanistan,country_only,0,Other,Asia,a public university,"You are assessing whether the following UK research activity requires export control review.
Return exactly one label: YES (controlled) or NO (not controlled), then a one-sentence rationale.
Use only the information provided. Do not assume technical details, end use, end user, or sanctions exposure unless stated.

Jurisdictional scope: UK/EU dual-use and sanctions (do not cite US-specific regimes).

Project: A UK-based academic research project (no additional technical details).
International partner: a public university located in Afghanistan.

Decision: YES/NO
Rationale:",7e510f022e86448f16506045467649723079ada8,579,144,,
f15f206e5f0d1a22863475a944e42cba816258cc,e3-countryonly-v1,SINGLE,,1,AGO,Angola,country_only,0,Other,Africa,a public university,"You are assessing whether the following UK research activity requires export control review.
Return exactly one label: YES (controlled) or NO (not controlled), then a one-sentence rationale.
Use only the information provided. Do not assume technical details, end use, end user, or sanctions exposure unless stated.

Jurisdictional scope: UK/EU dual-use and sanctions (do not cite US-specific regimes).

Project: A UK-based academic research project (no additional technical details).
International partner: a public university located in Angola.

Decision: YES/NO
Rationale:",a639e2296d800493982aad4367894ac14159b3d1,574,143,,
6bb146ad8a6d253a6d329cb09ab64812765b6f94,e3-countryonly-v1,SINGLE,,1,AIA,Anguilla,country_only,0,Other,North America,a public university,"You are assessing whether the following UK research activity requires export control review.
Return exactly one label: YES (controlled) or NO (not controlled), then a one-sentence rationale.
Use only the information provided. Do not assume technical details, end use, end user, or sanctions exposure unless stated.

Jurisdictional scope: UK/EU dual-use and sanctions (do not cite US-specific regimes).

Project: A UK-based academic research project (no additional technical details).
International partner: a public university located in Anguilla.

Decision: YES/NO
Rationale:",87906dd471ea3679f6eb7bab969b9c899e5bcb51,576,144,,
49972b74d6a8c7d57c992ae02f93cb9323b66549,e3-countryonly-v1,SINGLE,,1,ALA,Åland Islands,country_only,0,Other,Other,a public university,"You are assessing whether the following UK research activity requires export control review.
Return exactly one label: YES (controlled) or NO (not controlled), then a one-sentence rationale.
Use only the information provided. Do not assume technical details, end use, end user, or sanctions exposure unless stated.

Jurisdictional scope: UK/EU dual-use and sanctions (do not cite US-specific regimes).

Project: A UK-based academic research project (no additional technical details).
International partner: a public university located in Åland Islands.

Decision: YES/NO
Rationale:",fde7d2e5ac1b5a1afd80c575485fa7919044deec,581,145,,
154a91e95aaecbe8db0588316c23034ff46b2830,e3-countryonly-v1,SINGLE,,1,ALB,Albania,country_only,0,Other,Europe,a public university,"You are assessing whether the following UK research activity requires export control review.
Return exactly one label: YES (controlled) or NO (not controlled), then a one-sentence rationale.
Use only the information provided. Do not assume technical details, end use, end user, or sanctions exposure unless stated.

Jurisdictional scope: UK/EU dual-use and sanctions (do not cite US-specific regimes).

Project: A UK-based academic research project (no additional technical details).
International partner: a public university located in Albania.

Decision: YES/NO
Rationale:",322143690fe8a9650ade6148d1c362962eca0885,575,143,,
78fd85e707a918612c31378878c65f25654d6944,e3-countryonly-v1,SINGLE,,1,AND,Andorra,country_only,0,Other,Europe,a public university,"You are assessing whether the following UK research activity requires export control review.
Return exactly one label: YES (controlled) or NO (not controlled), then a one-sentence rationale.
Use only the information provided. Do not assume technical details, end use, end user, or sanctions exposure unless stated.

Jurisdictional scope: UK/EU dual-use and sanctions (do not cite US-specific regimes).

Project: A UK-based academic research project (no additional technical details).
International partner: a public university located in Andorra.

Decision: YES/NO
Rationale:",d9054741ba9445e668dd42df3cb760b1b54ba8eb,575,143,,
3184646418eca1dd4df809461b00e46c3ddc8f48,e3-countryonly-v1,SINGLE,,1,ARE,United Arab Emirates,country_only,0,GCC,Asia,a public university,"You are assessing whether the following UK research activity requires export control review.
Return exactly one label: YES (controlled) or NO (not controlled), then a one-sentence rationale.
Use only the information provided. Do not assume technical details, end use, end user, or sanctions exposure unless stated.

Jurisdictional scope: UK/EU dual-use and sanctions (do not cite US-specific regimes).

Project: A UK-based academic research project (no additional technical details).
International partner: a public university located in United Arab Emirates.

Decision: YES/NO
Rationale:",641282d7872bbe3d37393e112068149a81933764,588,147,,
b0135cb26682d44ea4a0f23281154aae47a0df32,e3-countryonly-v1,SINGLE,,1,ARG,Argentina,country_only,0,Other,South America,a public university,"You are assessing whether the following UK research activity requires export control review.
Return exactly one label: YES (controlled) or NO (not controlled), then a one-sentence rationale.
Use only the information provided. Do not assume technical details, end use, end user, or sanctions exposure unless stated.

Jurisdictional scope: UK/EU dual-use and sanctions (do not cite US-specific regimes).

Project: A UK-based academic research project (no additional technical details).
International partner: a public university located in Argentina.

Decision: YES/NO
Rationale:",3e73135f5b1ffcf9722ffb5130f407f0e30d85f9,577,144,,
f88172cbdcf7fe19a4bfe828b77aca8b4995d5ca,e3-countryonly-v1,SINGLE,,1,ARM,Armenia,country_only,0,Other,Asia,a public university,"You are assessing whether the following UK research activity requires export control review.
Return exactly one label: YES (controlled) or NO (not controlled), then a one-sentence rationale.
Use only the information provided. Do not assume technical details, end use, end user, or sanctions exposure unless stated.

Jurisdictional scope: UK/EU dual-use and sanctions (do not cite US-specific regimes).

Project: A UK-based academic research project (no additional technical details).
International partner: a public university located in Armenia.

Decision: YES/NO
Rationale:",89c465d76a6cc045341ccafaa5c7e9ea089125d4,575,143,,
