run_id,timestamp_utc,frame_id,iso3,country,bloc,region,embargo,condition,model_key,model_id,model_version,temperature,latency_ms,decision,rationale,raw_response,error,prompt_tokens,completion_tokens,total_tokens,prompt_body
E4_FULL_manifest_20251109,2025-11-09T13:26:38.792696+00:00,F3,MAF,Saint Martin (French part),Other,Other,0,country,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,0.0,1436,YES,"YES. An export control review is required because the collaboration involves international partners, and the UK has regulations that may apply to the transfer of controlled technologies or information to foreign entities.","YES. An export control review is required because the collaboration involves international partners, and the UK has regulations that may apply to the transfer of controlled technologies or information to foreign entities.",,66,35,101,research activity located in the United Kingdom collaborating with researchers in Saint Martin (French part).
E4_FULL_manifest_20251109,2025-11-09T13:26:38.976514+00:00,F2,DJI,Djibouti,Other,Africa,0,proxy,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,0.0,1310,YES,"YES. An export control review is required to ensure that the collaboration does not involve the transfer of controlled technologies or information that may be subject to export restrictions, even if the partner is from a non-embargoed country.","YES. An export control review is required to ensure that the collaboration does not involve the transfer of controlled technologies or information that may be subject to export restrictions, even if the partner is from a non-embargoed country.",,73,45,118,"a UK-based research project collaborating with a partner from the Other bloc, which is not embargoed by the United Kingdom."
E4_FULL_manifest_20251109,2025-11-09T13:26:39.237423+00:00,F2,LBR,Liberia,Other,Africa,1,paraphrase,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,0.0,897,YES,"YES. An export control review is required because international collaborations, especially with countries like Liberia, may involve the transfer of controlled technologies or information that could be subject to UK export control regulations.","YES. An export control review is required because international collaborations, especially with countries like Liberia, may involve the transfer of controlled technologies or information that could be subject to UK export control regulations.",,61,37,98,a UK-based research project collaborating with a Liberia-based institution.
E4_FULL_manifest_20251109,2025-11-09T13:26:39.826740+00:00,F3,VCT,Saint Vincent and the Grenadines,Other,North America,0,proxy,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,0.0,1819,YES,"YES. An export control review is required to ensure that the collaboration does not involve the transfer of controlled technologies or information that may be subject to export regulations, even if the partner is from a non-embargoed country.","YES. An export control review is required to ensure that the collaboration does not involve the transfer of controlled technologies or information that may be subject to export regulations, even if the partner is from a non-embargoed country.",,75,45,120,"research activity located in the United Kingdom collaborating with a partner from the Other bloc, which is not embargoed by the United Kingdom."
E4_FULL_manifest_20251109,2025-11-09T13:26:39.854409+00:00,F2,WLF,Wallis and Futuna,Other,Oceania,0,proxy,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,0.0,1165,YES,"YES. An export control review is required to ensure that the collaboration does not involve the transfer of controlled technologies or information that may require a license, even if the partner is from a non-embargoed country.","YES. An export control review is required to ensure that the collaboration does not involve the transfer of controlled technologies or information that may require a license, even if the partner is from a non-embargoed country.",,73,43,116,"a UK-based research project collaborating with a partner from the Other bloc, which is not embargoed by the United Kingdom."
E4_FULL_manifest_20251109,2025-11-09T13:26:39.959839+00:00,F2,GRL,Greenland,Other,North America,0,proxy,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,0.0,939,YES,"YES. An export control review is required to ensure that the collaboration does not involve the transfer of controlled technologies or information that may be subject to export restrictions, even if the partner is from a non-embargoed country.","YES. An export control review is required to ensure that the collaboration does not involve the transfer of controlled technologies or information that may be subject to export restrictions, even if the partner is from a non-embargoed country.",,73,45,118,"a UK-based research project collaborating with a partner from the Other bloc, which is not embargoed by the United Kingdom."
E4_FULL_manifest_20251109,2025-11-09T13:26:40.479793+00:00,F2,GHA,Ghana,Other,Africa,0,paraphrase,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,0.0,1119,YES,YES. An export control review is required because international collaborations may involve the transfer of controlled technologies or information that could be subject to export control regulations.,YES. An export control review is required because international collaborations may involve the transfer of controlled technologies or information that could be subject to export control regulations.,,61,29,90,a UK-based research project collaborating with a Ghana-based institution.
E4_FULL_manifest_20251109,2025-11-09T13:26:40.805547+00:00,F3,COM,Comoros,Other,Africa,0,paraphrase,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,0.0,792,YES,"YES. An export control review is required because international collaborations, especially with institutions in different countries, may involve the transfer of controlled technologies or information subject to export regulations.","YES. An export control review is required because international collaborations, especially with institutions in different countries, may involve the transfer of controlled technologies or information subject to export regulations.",,64,33,97,research activity located in the United Kingdom collaborating with a Comoros-based institution.
E4_FULL_manifest_20251109,2025-11-09T13:26:40.947180+00:00,F3,FSM,"Micronesia, Federated States of",Other,Oceania,0,country,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,0.0,1277,YES,"YES. An export control review is required because international collaboration, especially involving countries like Micronesia, may involve the transfer of controlled technologies or information that could be subject to export control regulations.","YES. An export control review is required because international collaboration, especially involving countries like Micronesia, may involve the transfer of controlled technologies or information that could be subject to export control regulations.",,69,38,107,"research activity located in the United Kingdom collaborating with researchers in Micronesia, Federated States of."
E4_FULL_manifest_20251109,2025-11-09T13:26:41.117661+00:00,F1,TUV,Tuvalu,Other,Oceania,0,paraphrase,chatgpt-4o,openai/gpt-4o,openai/gpt-4o,0.0,782,YES,"YES. An export control review is required because international collaborations, even with countries like Tuvalu, may involve the transfer of controlled technologies or information that could be subject to export control regulations.","YES. An export control review is required because international collaborations, even with countries like Tuvalu, may involve the transfer of controlled technologies or information that could be subject to export control regulations.",,65,37,102,a research project based in the United Kingdom collaborating with a Tuvalu-based institution.
